epoch,step,train_loss,val_accuracy,val_loss
0,427,,0.4763019382953644,1.8797329664230347
0,427,1.9025720357894897,,
1,855,,0.5447630286216736,1.7233577966690063
1,855,1.696558952331543,,
2,1283,,0.5728496313095093,1.6436189413070679
2,1283,1.5578256845474243,,
3,1711,,0.6325336694717407,1.5324476957321167
3,1711,1.4384825229644775,,
4,2139,,0.6155646443367004,1.456761121749878
4,2139,1.3512519598007202,,
5,2567,,0.6454066634178162,1.400138020515442
5,2567,1.2843796014785767,,
6,2995,,0.6518431901931763,1.3730968236923218
6,2995,1.2254173755645752,,
7,3423,,0.682270348072052,1.3255497217178345
7,3423,1.170193076133728,,
8,3851,,0.6887068748474121,1.2691208124160767
8,3851,1.1339201927185059,,
9,4279,,0.6734932661056519,1.219577431678772
9,4279,1.094778299331665,,
10,4707,,0.679929792881012,1.209673523902893
10,4707,1.0584099292755127,,
11,5135,,0.7109420895576477,1.1716771125793457
11,5135,1.0392422676086426,,
12,5563,,0.6933879256248474,1.1968286037445068
12,5563,1.003813624382019,,
13,5991,,0.7027501463890076,1.1555728912353516
13,5991,0.9875856637954712,,
14,6419,,0.7086015343666077,1.1190305948257446
14,6419,0.970984160900116,,
15,6847,,0.7115272283554077,1.1195838451385498
15,6847,0.9498889446258545,,
16,7275,,0.7138677835464478,1.0779684782028198
16,7275,0.9388347864151001,,
17,7703,,0.717378556728363,1.0603227615356445
17,7703,0.911567211151123,,
18,8131,,0.7366881370544434,1.0441900491714478
18,8131,0.9061207175254822,,
19,8559,,0.7378584146499634,1.021499752998352
19,8559,0.8906021118164062,,
20,8987,,0.7401989698410034,1.016497015953064
20,8987,0.8738250136375427,,
21,9415,,0.7448800206184387,1.012364149093628
21,9415,0.8646775484085083,,
22,9843,,0.7472205758094788,1.0100882053375244
22,9843,0.8567022681236267,,
23,10271,,0.7489759922027588,0.994608998298645
23,10271,0.848266065120697,,
24,10699,,0.764774739742279,0.9626655578613281
24,10699,0.8391310572624207,,
25,11127,,0.7559976577758789,0.9921982884407043
25,11127,0.8292889595031738,,
26,11555,,0.7554125189781189,0.9674809575080872
26,11555,0.8147017359733582,,
27,11983,,0.7665301561355591,0.9534581303596497
27,11983,0.8069645762443542,,
28,12411,,0.763604462146759,0.953603982925415
28,12411,0.8072213530540466,,
29,12839,,0.7706260681152344,0.9429808259010315
29,12839,0.787773609161377,,
30,13267,,0.7483908534049988,0.9347332119941711
30,13267,0.7861026525497437,,
31,13695,,0.764774739742279,0.9482557773590088
31,13695,0.7826622128486633,,
32,14123,,0.7694558501243591,0.9357016086578369
32,14123,0.7786399126052856,,
33,14551,,0.7665301561355591,0.9071545004844666
33,14551,0.7683511972427368,,
34,14979,,0.7665301561355591,0.9007804989814758
34,14979,0.7549472451210022,,
35,15407,,0.7554125189781189,0.9279664158821106
35,15407,0.7689781188964844,,
36,15835,,0.7671152949333191,0.8911420702934265
36,15835,0.7539486289024353,,
37,16263,,0.7507314085960388,0.9160093665122986
37,16263,0.7380712628364563,,
38,16691,,0.7706260681152344,0.8728901147842407
38,16691,0.7396889925003052,,
39,17119,,0.7653598785400391,0.9172666072845459
39,17119,0.7352175116539001,,
40,17547,,0.7753071784973145,0.8676969408988953
40,17547,0.7435075640678406,,
41,17975,,0.7870099544525146,0.852441132068634
41,17975,0.7312124371528625,,
42,18403,,0.7905207872390747,0.8460566997528076
42,18403,0.7241960167884827,,
43,18831,,0.7870099544525146,0.8613289594650269
43,18831,0.7142682671546936,,
44,19259,,0.7946167588233948,0.8668954968452454
44,19259,0.7101658582687378,,
45,19687,,0.7911059260368347,0.8480920195579529
45,19687,0.7128739953041077,,
46,20115,,0.7729666233062744,0.8752573728561401
46,20115,0.7090750336647034,,
47,20543,,0.7735517621040344,0.8739407658576965
47,20543,0.7044036984443665,,
48,20971,,0.7952018976211548,0.8161470293998718
48,20971,0.6887392401695251,,
49,21399,,0.8016383647918701,0.8211473226547241
49,21399,0.6998410224914551,,
